"franchise","pack","cards_per_pack","is_active","card_name","rarity","weight","image_url"
"Reverend Insanity","Reverend Insanity","5","true","Fang Yuan","LEGENDARY","5","reverend insanity"
"Reverend Insanity","Reverend Insanity","5","true","Bai Ning Bing","RARE","15","reverend insanity"
"Reverend Insanity","Reverend Insanity","5","true","Hei Luo Lan","RARE","15","reverend insanity"
"Reverend Insanity","Reverend Insanity","5","true","Ying Wu Xie","UNCOMMON","20","reverend insanity"
"Reverend Insanity","Reverend Insanity","5","true","Fairy Miao Yin","UNCOMMON","20","reverend insanity"
"Reverend Insanity","Reverend Insanity","5","true","Laddy White Rabbit","COMMON","50","reverend insanity"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Acheron","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Aglaea","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Anaxa","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Archer","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Argenti","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Ashveil","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Aventurine","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Bailu","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Black Swan","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Blade","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Boothill","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Bronya","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Castorice","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Cerydra","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Cipher","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Clara","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Cyrene","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Dan Heng • Imbibitor Lunae","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Dan Heng • Permansor Terrae","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Dr. Ratio","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Evanescia","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Evernight","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Feixiao","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Firefly","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Fugue","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Fu Xuan","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Gepard","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Gilgamesh","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Himeko","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Himeko • Nova","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Huohuo","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Hyacine","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Hysilens","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Jade","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Jiaoqiu","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Jingliu","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Jing Yuan","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Kafka","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Lingsha","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Luocha","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Mortenax Blade","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Mydei","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Phainon","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Rappa","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Rin Tohsaka","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Robin","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Robin • Summeretto","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Ruan Mei","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Saber","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Seele","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Silver Wolf","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Silver Wolf LV.999","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Sparkle","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Sparxie","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Sunday","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","The Dahlia","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","The Herta","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Topaz & Numby","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Trailblazer (Destruction)","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Trailblazer (Elation)","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Trailblazer (Harmony)","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Trailblazer (Preservation)","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Trailblazer (Remembrance)","LEGENDARY","5","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Tribbie","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Welt","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Yanqing","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Yao Guang","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Yunli","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Arlan","COMMON","50","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Asta","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Dan Heng","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Gallagher","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Guinaifen","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Hanya","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Herta","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Hook","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Luka","COMMON","50","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Lynx","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","March 7th (Preservation)","COMMON","50","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","March 7th (The Hunt)","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Misha","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Moze","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Natasha","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Pela","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Qingque","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Sampo","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Serval","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Sushang","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Tingyun","RARE","15","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Xueyi","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Yukong","UNCOMMON","20","honkai star rail"
"Honkai: Star Rail","Honkai: Star Rail","5","true","Aha","LEGENDARY","20","honkai star rail"
